model_id,seed,r2_tstr,r2_trtr,predictive_score,sig_w1_metric,abs_metric,acf_id_lag=1,kurtosis,skew,cross_correl,kl
TimeGAN,seed=111,0.23955,0.98826,0.74871,0.06407,30.42436,0.14940,53.60876,3.60072,1.95185,0.08348
RCGAN,seed=111,0.23810,0.98826,0.75016,0.07313,31.20111,0.18429,52.19959,3.53870,2.43789,0.06540
RCWGAN,seed=111,-35.94759,0.98826,36.93585,0.22214,31.24817,0.39026,52.38013,3.74472,3.99897,0.12695
