"Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri","Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto)","Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto)",Tapausten lukumäärä,Testausmäärä
180.0,96.0,68.0,12870.0,36370.0
182.0,108.0,90.0,12728.0,33430.0
202.0,114.0,83.0,12054.0,36098.0
187.0,106.0,75.0,12420.0,37901.0
163.0,96.0,74.0,11834.0,34544.0
150.0,86.0,82.0,11718.0,36609.0
155.0,85.0,68.0,11793.0,36327.0
166.0,82.0,71.0,11647.0,37240.0
142.0,75.0,81.0,9786.0,33344.0
134.0,72.0,76.0,5057.0,26794.0
128.0,89.0,64.0,4564.0,22449.0
109.0,64.0,59.0,2015.0,15025.0
59.0,41.0,60.0,1288.0,11583.0
41.0,30.0,36.0,809.0,9651.0
34.0,25.0,30.0,675.0,9104.0
29.0,16.0,24.0,610.0,5234.0
21.0,10.0,15.0,573.0,10259.0
34.0,14.0,16.0,590.0,6609.0
35.0,11.0,9.0,666.0,4359.0
29.0,16.0,13.0,732.0,4334.0
36.0,19.0,12.0,771.0,4160.0
43.0,8.0,10.0,1026.0,4213.0
65.0,21.0,9.0,1288.0,4215.0
75.0,22.0,19.0,1462.0,4200.0
69.0,40.0,20.0,1418.0,4084.0
101.0,44.0,23.0,2020.0,4459.0
103.0,46.0,35.0,1858.0,4389.0
92.0,53.0,40.0,1743.0,4061.0
90.0,49.0,38.0,1713.0,3910.0
95.0,51.0,39.0,1451.0,3539.0
77.0,38.0,20.0,1158.0,3253.0
50.0,29.0,20.0,818.0,2610.0
31.0,32.0,32.0,624.0,2085.0
44.0,29.0,18.0,593.0,1554.0
60.0,18.0,20.0,662.0,41.0
27.0,26.0,15.0,365.0,0.0
25.0,14.0,19.0,279.0,0.0
14.0,13.0,11.0,203.0,0.0
12.0,11.0,10.0,169.0,0.0
13.0,8.0,13.0,161.0,0.0
16.0,5.0,5.0,176.0,0.0
12.0,5.0,8.0,173.0,0.0
16.0,6.0,5.0,217.0,0.0
17.0,6.0,7.0,243.0,0.0
21.0,11.0,5.0,292.0,0.0
16.0,15.0,4.0,302.0,0.0
32.0,5.0,12.0,419.0,0.0
28.0,18.0,12.0,455.0,0.0
31.0,18.0,12.0,556.0,0.0
49.0,11.0,10.0,564.0,0.0
60.0,30.0,10.0,689.0,0.0
98.0,35.0,23.0,1094.0,0.0
131.0,46.0,31.0,1577.0,0.0
159.0,61.0,49.0,2447.0,0.0
211.0,99.0,61.0,3355.0,0.0
236.0,144.0,84.0,3781.0,0.0
150.0,143.0,104.0,3281.0,0.0
140.0,127.0,101.0,2520.0,0.0
100.0,107.0,88.0,1870.0,0.0
72.0,83.0,74.0,1630.0,0.0
77.0,53.0,69.0,1509.0,0.0
44.0,51.0,47.0,1222.0,0.0
44.0,42.0,41.0,1046.0,0.0
27.0,34.0,32.0,735.0,0.0
5.0,28.0,26.0,544.0,0.0
0.0,22.0,21.0,337.0,0.0
2.0,12.0,20.0,284.0,0.0
0.0,8.0,14.0,240.0,0.0
2.0,4.0,10.0,209.0,0.0
3.0,1.0,10.0,194.0,0.0
2.0,7.0,11.0,187.0,0.0
4.0,4.0,6.0,136.0,0.0
3.0,5.0,3.0,122.0,0.0
0.0,6.0,6.0,112.0,0.0
0.0,3.0,2.0,98.0,0.0
0.0,0.0,4.0,72.0,0.0
0.0,2.0,1.0,79.0,0.0
0.0,3.0,4.0,88.0,0.0
0.0,0.0,2.0,67.0,0.0
0.0,1.0,4.0,100.0,0.0
0.0,0.0,0.0,95.0,0.0
0.0,0.0,0.0,137.0,0.0
0.0,0.0,0.0,35.0,0.0
