Viim.,Avoin,Korkea,Matala,Vol.
5725.63,6054.23,6166.14,5673.01,95190000
5943.79,5768.93,5985.78,5474.27,93350000
5987.6,5943.79,6016.52,5787.32,84780000
6048.26,6145.1,6229.02,5900.87,113760000
5980.47,6062.77,6155.09,5876.18,87000000
5842.24,5980.47,5980.47,5525.03,148660000
6158.4,5842.24,6167.47,5841.91,86900000
6240.26,6158.4,6248.39,6054.38,100520000
6146.51,6240.26,6240.26,6003.25,128300000
5892.57,6146.51,6150.92,5837.71,89050000
6143.71,5892.57,6164.26,5891.96,100140000
5879.83,6143.71,6143.75,5861.97,68640000
5994.86,5879.83,5999.47,5839.12,68430000
5870.3,5994.86,5994.93,5743.28,85140000
6312.35,5870.3,6392.19,5870.3,120480000
6333.37,6312.35,6473.95,6190.05,105160000
6405.67,6333.67,6439.16,6151.13,66410000
6530.97,6535.43,6598.81,6370.69,75260000
6648.93,6530.97,6684.12,6398.04,103850000
6989.36,6648.93,7099.25,6648.93,148640000
7005.23,6989.36,7131.26,6866.91,103340000
6815.26,7005.23,7007.04,6780.47,57400000
6991.06,6815.26,7035.68,6801.45,62000000
7242.49,6988.09,7362.67,6987.96,125450000
6940.73,7242.49,7242.49,6896.18,80980000
7164.4,6940.73,7258.08,6846.58,154650000
7312.02,7164.4,7311.56,7125.43,84060000
7634.42,7298.23,7684.95,7298.23,150030000
7760.62,7665.95,7778.73,7492.8,137380000
7534.66,7763.42,7937.27,7428.74,158990000
7704.33,7534.66,7820.28,7534.66,99860000
7576.98,7704.33,7713.68,7518.27,59820000
7219.48,7576.98,7576.98,7175.98,87460000
7522.54,7219.48,7564.2,7181.95,103640000
7467.86,7522.54,7527.8,7329.89,93480000
7605.52,7467.86,7676.88,7467.86,86040000
7823.65,7605.52,7850.21,7605.47,65630000
7959.41,7823.65,7987.8,7823.65,108020000
7859.87,7959.41,8027.7,7697.41,117200000
8199.29,7859.87,8218.0,7811.18,117240000
7986.84,8199.29,8199.42,7906.5,72710000
