model_id,seed,r2_tstr,r2_trtr,predictive_score,sig_w1_metric,abs_metric,acf_id_lag=1,kurtosis,skew,cross_correl,kl
TimeGAN,seed=111,0.84199,0.85385,0.01187,0.13229,0.04158,0.02539,6.83162,0.71821,0.31452,1.75784
RCGAN,seed=111,0.81496,0.85385,0.03890,0.22146,0.06517,0.02917,6.81928,0.73030,0.17033,1.82657
RCWGAN,seed=111,0.83341,0.85385,0.02044,0.15116,0.04630,0.00093,1.38538,0.11636,0.25816,1.76837
