Started journeys,Avg. covered distance (m),Avg. duration (sec.)
39,2767.9058974358973,779.9230769230769
38,2880.1052631578946,856.2894736842105
45,2128.911111111111,752.5777777777778
44,2367.681818181818,1194.9545454545455
32,2706.0625,815.96875
53,2047.1698113207547,671.6792452830189
46,2622.181086956522,798.195652173913
49,2597.0204081632655,833.6122448979592
42,2759.5476190476193,806.0
37,2881.837837837838,993.2972972972973
38,2521.0789473684213,1263.078947368421
38,2498.2368421052633,859.3157894736842
33,2191.030303030303,671.8484848484849
27,2346.5555555555557,721.2592592592592
31,2698.548387096774,829.8387096774194
34,2939.0,944.8529411764706
30,2747.3,792.8666666666667
38,2577.0789473684213,1033.8947368421052
43,2420.860465116279,741.9069767441861
41,2482.487804878049,869.9024390243902
36,2978.6944444444443,1214.0833333333333
21,2614.3809523809523,883.8095238095239
35,3127.6285714285714,971.8285714285714
53,3264.490566037736,1025.4150943396226
49,2770.469387755102,855.204081632653
55,3334.018181818182,1020.6909090909091
58,2896.7586206896553,1426.7931034482758
34,3011.3823529411766,1763.264705882353
35,2910.457142857143,856.5714285714286
29,2780.3793103448274,926.1379310344828
35,2947.0857142857144,937.1714285714286
39,2488.076923076923,1540.2564102564102
49,2557.3061224489797,779.5510204081633
33,2886.4242424242425,957.3636363636364
38,2740.842105263158,900.5
42,2547.190476190476,1547.0714285714287
35,2579.057142857143,807.2571428571429
32,3178.90625,991.875
39,3316.4102564102564,1864.923076923077
38,3910.3684210526317,1163.8157894736842
26,2328.1153846153848,664.5384615384615
29,2680.8275862068967,815.7586206896551
35,2923.657142857143,910.0857142857143
37,2829.108108108108,2371.7297297297296
22,3628.5454545454545,1062.0454545454545
41,2942.991951219512,854.6829268292682
35,3257.4,1684.8285714285714
19,2652.1226315789477,892.3684210526316
30,3482.8333333333335,1040.0666666666666
20,2846.6,834.4
17,2014.1176470588234,682.1176470588235
18,2444.0555555555557,731.1666666666666
14,3425.1428571428573,914.6428571428571
20,3379.4,924.8
17,3701.9411764705883,1150.4705882352941
15,2817.4,848.8
13,3353.230769230769,2877.846153846154
18,2892.8888888888887,801.9444444444445
12,2017.8333333333333,582.5
12,2651.0,800.3333333333334
6,2482.1666666666665,4375.166666666667
5,3114.0,1109.0
15,1825.6666666666667,668.1333333333333
7,2425.4285714285716,685.8571428571429
3,2337.6666666666665,683.0
8,2841.0,3534.0
12,2705.5833333333335,2489.3333333333335
16,1386.25,501.5625
8,1980.75,684.0
6,2232.3333333333335,692.6666666666666
4,1022.5,451.0
2,1818.0,528.5
5,2170.8,640.2
3,2124.0,512.6666666666666
4,1632.0,512.0
4,1534.25,404.5
2,1705.5,502.5
5,1597.2,565.8
3,2354.6666666666665,758.3333333333334
1,3136.0,1306.0
5,2540.2,850.0
2,2738.0,720.5
5,3461.0,929.4
5,3244.6,878.8
5,2526.4,835.0
9,2941.6666666666665,818.6666666666666
6,2523.3333333333335,654.1666666666666
6,2430.1666666666665,779.8333333333334
5,2263.2,700.8
2,1910.0,514.5
4,2829.25,900.75
7,3064.8571428571427,799.5714285714286
8,1941.875,538.25
4,3032.5,871.5
5,1497.0,448.0
10,1658.8,611.1
8,3944.125,913.5
10,2326.3,636.5
4,2056.25,597.25
9,2228.6666666666665,578.6666666666666
6,2686.8333333333335,705.0
6,1197.1666666666667,340.5
13,2632.230769230769,793.1538461538462
6,3000.5,835.8333333333334
9,2131.1111111111113,580.6666666666666
6,2854.0,862.3333333333334
11,3487.909090909091,1626.8181818181818
7,2535.8571428571427,789.5714285714286
24,4113.625,2344.375
9,1978.5555555555557,505.0
11,1739.9699999999998,616.5454545454545
5,4404.8,1164.8
13,2340.769230769231,921.4615384615385
27,2824.074074074074,818.1481481481482
15,2371.5333333333333,732.4666666666667
20,4207.95,2014.55
15,2494.733333333333,795.1333333333333
19,2082.4736842105262,750.7368421052631
17,3090.823529411765,1237.9411764705883
20,1842.55,897.25
22,2972.818181818182,1564.8181818181818
20,2256.7165,657.65
25,2947.0,839.0
30,2253.3,771.7333333333333
41,2740.487804878049,773.0
36,3008.6111111111113,1210.5555555555557
31,2785.7741935483873,932.6774193548387
31,2945.483870967742,950.8709677419355
35,1970.5142857142857,656.3714285714286
33,2782.3636363636365,832.4545454545455
47,2409.808510638298,848.1702127659574
47,3621.446808510638,2070.744680851064
41,2481.382195121951,863.6341463414634
37,2884.7567567567567,1587.3243243243244
30,2749.6666666666665,844.0333333333333
58,3015.948275862069,891.6724137931035
35,2260.1714285714284,692.0
34,2501.529411764706,829.1176470588235
57,2395.842105263158,797.9122807017544
