model_id,seed,r2_tstr,r2_trtr,predictive_score,sig_w1_metric,abs_metric,acf_id_lag=1,kurtosis,skew,cross_correl,kl
TimeGAN,seed=111,0.32905,0.35283,0.02378,0.13589,0.02868,0.07940,87.75663,4.62220,0.53019,2.32578
RCGAN,seed=111,0.28971,0.35283,0.06312,0.16685,0.04707,0.07043,84.35908,4.12492,0.29664,2.30561
RCWGAN,seed=111,0.33524,0.35283,0.01759,0.13373,0.03809,0.01801,76.47948,3.06190,0.09933,2.30004
