model_id,seed,r2_tstr,r2_trtr,predictive_score,sig_w1_metric,abs_metric,acf_id_lag=1,kurtosis,skew,cross_correl,kl
TimeGAN,seed=111,0.89794,0.99435,0.09640,0.06291,0.58365,0.03692,0.19162,0.09697,3.26224,2.22940
RCGAN,seed=111,0.84894,0.99435,0.14540,0.07496,0.63588,0.04042,0.19560,0.09288,3.68416,2.23231
RCWGAN,seed=111,0.96168,0.99435,0.03266,0.04167,0.53823,0.01573,0.06738,0.04319,0.72266,2.28737
