Päivämäärä	Viim.	Avoin	Korkea	Matala	Vol.	Muut.%
15.05.2024	10.316,96	10.391,52	10.404,95	10.302,40	57,26M	-0.43%
14.05.2024	10.361,32	10.315,66	10.424,18	10.308,34	63,23M	+0.51%
13.05.2024	10.308,32	10.285,33	10.308,68	10.252,30	39,81M	+0.45%
10.05.2024	10.262,37	10.197,84	10.295,29	10.197,84	50,86M	+1.50%
08.05.2024	10.110,53	10.122,73	10.165,13	10.071,96	43,32M	-0.07%
07.05.2024	10.117,53	10.106,58	10.120,20	10.059,44	44,34M	+0.44%
06.05.2024	10.073,69	9.985,77	10.076,39	9.970,34	32,35M	+1.01%
03.05.2024	9.972,64	9.943,25	10.034,59	9.943,25	37,76M	+0.56%
02.05.2024	9.916,90	9.870,05	9.929,40	9.826,52	47,01M	+0.81%
30.04.2024	9.837,14	9.891,75	9.923,62	9.837,14	50,11M	-0.53%
29.04.2024	9.889,95	9.853,62	9.903,36	9.853,62	46,78M	+0.46%
26.04.2024	9.844,49	9.772,68	9.905,40	9.770,88	48,00M	+1.18%
25.04.2024	9.729,46	9.942,46	9.942,46	9.705,01	64,55M	-2.00%
24.04.2024	9.927,88	10.014,17	10.020,65	9.919,70	49,27M	-0.56%
23.04.2024	9.983,61	9.969,61	9.983,61	9.937,83	54,23M	+0.39%
22.04.2024	9.944,97	9.874,05	9.958,67	9.865,60	49,36M	+1.03%
19.04.2024	9.843,44	9.734,85	9.844,10	9.721,97	52,07M	+0.77%
18.04.2024	9.768,69	9.751,45	9.773,97	9.692,84	64,96M	+0.37%
17.04.2024	9.733,03	9.767,30	9.815,91	9.724,99	47,61M	-0.09%
16.04.2024	9.742,18	9.781,00	9.793,05	9.702,11	58,74M	-0.97%
15.04.2024	9.837,99	9.925,84	9.966,82	9.836,85	43,97M	-0.66%
12.04.2024	9.903,41	9.976,85	10.016,08	9.899,85	44,94M	-0.24%
11.04.2024	9.927,65	9.968,51	9.983,62	9.899,82	52,01M	-0.25%
10.04.2024	9.952,48	10.026,60	10.092,06	9.916,33	59,37M	+0.04%
09.04.2024	9.948,04	9.935,72	10.021,19	9.920,91	47,80M	+0.04%
08.04.2024	9.944,15	9.905,92	9.954,65	9.872,14	46,69M	+0.51%
05.04.2024	9.893,37	9.825,70	9.920,71	9.821,36	56,08M	+0.01%
04.04.2024	9.892,46	9.816,49	9.905,85	9.803,04	44,79M	+1.08%
03.04.2024	9.786,63	9.751,34	9.798,80	9.733,12	44,30M	+0.54%
02.04.2024	9.733,68	9.772,03	9.821,11	9.719,64	52,33M	-0.16%
28.03.2024	9.749,00	9.787,97	9.800,14	9.706,55	47,70M	-0.48%
27.03.2024	9.796,15	9.755,95	9.817,63	9.726,21	36,46M	+0.11%
26.03.2024	9.785,50	9.752,62	9.785,50	9.660,42	38,49M	+0.36%
25.03.2024	9.750,23	9.743,64	9.763,26	9.661,77	38,33M	-0.02%
22.03.2024	9.752,52	9.722,68	9.759,89	9.699,37	45,85M	-1.05%
21.03.2024	9.856,48	9.848,31	9.874,63	9.807,19	50,82M	+0.80%
20.03.2024	9.778,73	9.789,05	9.789,05	9.741,34	72,48M	-0.17%
19.03.2024	9.795,46	9.710,59	9.795,46	9.687,68	62,81M	+0.93%
18.03.2024	9.705,34	9.770,77	9.792,01	9.693,97	61,70M	-0.54%
15.03.2024	9.757,96	9.789,97	9.819,73	9.754,11	132,11M	-0.13%
14.03.2024	9.771,13	9.858,90	9.869,38	9.770,00	70,56M	-0.76%
13.03.2024	9.845,68	9.860,27	9.891,84	9.834,60	57,64M	-0.25%
12.03.2024	9.870,59	9.782,16	9.872,58	9.747,24	65,76M	+1.00%
11.03.2024	9.772,42	9.808,98	9.832,13	9.736,55	77,56M	-0.65%
08.03.2024	9.835,99	9.836,12	9.864,78	9.801,09	76,15M	+0.20%
07.03.2024	9.816,43	9.699,75	9.860,29	9.679,94	64,65M	+0.79%
06.03.2024	9.739,96	9.733,78	9.764,35	9.719,46	78,23M	+0.09%
05.03.2024	9.731,37	9.745,95	9.767,36	9.716,35	77,31M	-0.49%
04.03.2024	9.779,74	9.858,19	9.858,19	9.759,97	60,04M	-0.71%
01.03.2024	9.849,62	9.805,57	9.853,77	9.805,30	56,30M	+0.10%
29.02.2024	9.839,53	9.903,67	9.912,52	9.807,82	108,24M	-0.55%
28.02.2024	9.894,10	9.895,14	9.906,33	9.857,02	42,95M	0.00%
27.02.2024	9.894,42	9.844,25	9.894,47	9.833,04	44,03M	+0.68%
26.02.2024	9.827,35	9.846,29	9.860,17	9.804,96	52,39M	-0.55%
23.02.2024	9.881,26	9.911,35	9.916,39	9.847,42	58,88M	-0.14%
22.02.2024	9.894,63	9.996,17	9.999,85	9.894,63	66,33M	-0.10%
21.02.2024	9.904,32	9.881,70	9.938,64	9.871,82	55,56M	+0.16%
20.02.2024	9.888,80	9.874,54	9.908,45	9.843,60	60,79M	-0.02%
19.02.2024	9.890,30	9.914,64	9.922,88	9.864,81	61,09M	-0.34%
16.02.2024	9.924,47	9.811,98	9.926,16	9.806,57	78,94M	+1.73%
15.02.2024	9.755,30	9.715,21	9.777,66	9.708,40	133,45M	+0.69%
14.02.2024	9.688,81	9.695,87	9.708,77	9.651,09	157,19M	+0.06%
13.02.2024	9.683,07	9.780,16	9.828,42	9.657,89	71,95M	-0.95%
12.02.2024	9.776,29	9.775,03	9.811,05	9.755,19	64,30M	+0.20%
09.02.2024	9.756,86	9.821,18	9.840,99	9.736,41	63,16M	-0.79%
08.02.2024	9.834,78	9.928,85	9.945,14	9.785,16	75,87M	-0.69%
07.02.2024	9.903,55	9.938,90	9.954,46	9.891,42	58,18M	-0.54%
06.02.2024	9.956,86	9.944,93	9.963,38	9.874,08	50,74M	+0.48%
05.02.2024	9.909,64	10.002,54	10.002,54	9.875,11	65,97M	-1.33%
02.02.2024	10.042,83	10.103,74	10.110,62	10.042,83	51,68M	-0.12%
01.02.2024	10.054,82	10.139,66	10.143,77	10.053,81	65,71M	-1.11%
31.01.2024	10.167,38	10.217,79	10.247,13	10.161,14	68,82M	-0.36%
30.01.2024	10.204,49	10.265,26	10.295,16	10.190,76	59,43M	-0.34%
29.01.2024	10.239,36	10.235,67	10.239,36	10.154,38	64,57M	-0.02%
26.01.2024	10.241,90	10.183,14	10.253,63	10.110,88	60,49M	+0.83%
25.01.2024	10.157,38	10.068,64	10.163,13	10.062,51	90,78M	+1.05%
24.01.2024	10.051,65	10.019,38	10.059,96	9.990,89	60,56M	+1.00%
23.01.2024	9.951,81	9.948,57	9.979,84	9.905,18	52,32M	+0.42%
22.01.2024	9.910,48	9.895,33	9.923,25	9.856,64	57,35M	+0.68%
19.01.2024	9.843,33	9.975,94	9.987,48	9.835,29	69,74M	-1.10%
18.01.2024	9.952,82	9.959,87	9.980,38	9.922,58	50,77M	-0.17%
17.01.2024	9.969,73	10.016,55	10.016,55	9.935,58	64,33M	-1.63%
16.01.2024	10.134,43	10.123,48	10.139,74	10.080,15	62,10M	-0.45%
15.01.2024	10.180,52	10.240,05	10.259,88	10.174,63	62,49M	-0.31%
12.01.2024	10.212,54	10.160,12	10.229,04	10.160,12	56,99M	+0.79%
11.01.2024	10.132,04	10.221,83	10.226,56	10.129,98	73,98M	-0.69%
10.01.2024	10.202,43	10.200,16	10.204,93	10.169,87	55,44M	-0.24%
09.01.2024	10.227,43	10.299,01	10.312,73	10.189,46	78,58M	-0.39%
08.01.2024	10.267,61	10.243,57	10.267,61	10.156,28	67,04M	-0.04%
05.01.2024	10.271,21	10.164,96	10.285,32	10.128,23	62,91M	+0.57%
04.01.2024	10.212,55	10.099,04	10.218,68	10.099,04	57,75M	+1.60%
03.01.2024	10.051,55	10.203,71	10.203,71	10.014,46	82,81M	-1.14%
02.01.2024	10.167,09	10.126,53	10.233,49	10.126,53	96,24M	+0.53%
29.12.2023	10.113,41	10.137,58	10.159,81	10.112,36	80,64M	-0.19%
28.12.2023	10.132,19	10.166,92	10.177,44	10.102,98	62,58M	-0.35%
27.12.2023	10.168,12	10.103,52	10.204,77	10.103,52	85,77M	+0.60%
22.12.2023	10.107,39	10.015,70	10.107,39	10.015,70	81,13M	+0.92%
21.12.2023	10.015,59	10.002,27	10.015,59	9.971,82	57,45M	-0.33%
20.12.2023	10.048,79	10.051,67	10.070,36	9.992,52	69,09M	+0.20%
19.12.2023	10.028,99	9.955,81	10.044,13	9.955,81	83,10M	+0.72%
18.12.2023	9.957,59	9.909,73	9.999,36	9.906,52	69,77M	+0.23%
15.12.2023	9.935,07	10.007,72	10.043,88	9.898,27	164,34M	-0.29%
14.12.2023	9.963,94	9.883,31	9.971,02	9.883,31	116,28M	+1.78%
13.12.2023	9.789,62	9.810,05	9.831,22	9.786,36	82,50M	-0.49%
12.12.2023	9.837,43	9.881,22	9.887,68	9.795,84	110,96M	-0.75%
11.12.2023	9.911,54	9.925,95	9.925,95	9.875,39	84,67M	-0.32%
08.12.2023	9.943,29	9.847,19	9.959,96	9.838,07	100,79M	+0.97%
07.12.2023	9.847,39	9.740,83	9.864,18	9.713,22	102,41M	+1.05%
05.12.2023	9.745,35	9.726,94	9.750,45	9.668,41	110,64M	-0.08%
04.12.2023	9.753,38	9.833,23	9.859,50	9.742,17	94,95M	-1.11%
01.12.2023	9.862,72	9.815,14	9.862,72	9.776,14	122,86M	+0.90%
30.11.2023	9.774,65	9.744,85	9.775,34	9.700,79	294,37M	+0.36%
29.11.2023	9.739,59	9.681,78	9.762,90	9.681,78	100,99M	+0.41%
28.11.2023	9.699,74	9.646,76	9.699,74	9.614,80	92,52M	+0.27%
27.11.2023	9.673,49	9.704,47	9.715,85	9.664,74	242,01M	-0.56%
24.11.2023	9.727,90	9.723,72	9.730,98	9.677,29	83,24M	+0.08%
23.11.2023	9.720,11	9.719,18	9.724,01	9.669,70	96,62M	+0.39%
22.11.2023	9.682,57	9.725,25	9.769,41	9.681,12	50,68M	-0.31%
21.11.2023	9.712,49	9.772,63	9.805,15	9.712,49	40,69M	-0.55%
20.11.2023	9.766,42	9.793,24	9.812,87	9.762,76	45,25M	+0.01%
17.11.2023	9.765,15	9.690,06	9.793,50	9.690,06	52,31M	+1.13%
16.11.2023	9.655,62	9.751,65	9.751,65	9.654,23	46,59M	-1.06%
15.11.2023	9.758,98	9.733,63	9.810,87	9.721,94	51,49M	+0.39%
14.11.2023	9.721,11	9.558,18	9.724,34	9.527,71	55,55M	+1.97%
13.11.2023	9.533,50	9.533,02	9.561,81	9.509,17	54,94M	+0.30%
10.11.2023	9.505,10	9.562,04	9.568,57	9.465,95	49,14M	-1.03%
09.11.2023	9.604,00	9.503,49	9.604,00	9.488,57	46,83M	+1.03%
08.11.2023	9.505,62	9.431,11	9.531,45	9.391,32	58,44M	+0.76%
07.11.2023	9.433,61	9.453,94	9.486,17	9.425,64	81,88M	-0.56%
06.11.2023	9.487,08	9.514,88	9.520,59	9.471,41	57,30M	+0.06%
03.11.2023	9.481,13	9.468,32	9.510,76	9.437,97	72,90M	+0.61%
02.11.2023	9.424,02	9.251,29	9.463,37	9.251,29	63,85M	+2.43%
01.11.2023	9.200,68	9.250,06	9.253,47	9.175,35	53,16M	-0.33%
31.10.2023	9.231,58	9.162,28	9.249,59	9.162,28	119,16M	+1.03%
30.10.2023	9.137,36	9.131,28	9.189,76	9.129,19	71,42M	+0.26%
27.10.2023	9.113,83	9.125,49	9.206,38	9.080,22	59,04M	+0.06%
26.10.2023	9.108,36	8.976,76	9.129,60	8.965,95	60,11M	+0.79%
25.10.2023	9.036,68	9.071,43	9.088,71	8.970,58	57,37M	-0.36%
24.10.2023	9.069,70	9.025,40	9.105,69	9.012,78	51,47M	+1.02%
23.10.2023	8.977,75	9.049,32	9.066,84	8.915,22	50,86M	-0.86%
20.10.2023	9.055,91	9.145,43	9.161,40	9.055,91	60,07M	-1.45%
19.10.2023	9.189,54	9.253,54	9.286,29	9.150,09	109,18M	-1.44%
18.10.2023	9.323,69	9.433,36	9.450,36	9.323,55	48,18M	-1.17%
17.10.2023	9.434,40	9.471,91	9.500,14	9.405,51	45,39M	-0.93%
16.10.2023	9.523,11	9.543,93	9.553,36	9.481,83	38,83M	+0.06%
13.10.2023	9.517,15	9.579,20	9.592,17	9.512,69	53,31M	-0.82%
12.10.2023	9.596,08	9.627,84	9.673,88	9.595,90	62,13M	+0.03%
11.10.2023	9.593,09	9.541,62	9.641,00	9.541,62	49,21M	+0.35%
10.10.2023	9.560,07	9.444,37	9.560,68	9.442,91	56,70M	+2.24%
09.10.2023	9.350,76	9.366,30	9.384,02	9.305,89	42,31M	-0.32%
06.10.2023	9.381,05	9.293,71	9.383,02	9.286,89	63,71M	+1.08%
05.10.2023	9.280,92	9.304,00	9.338,10	9.275,82	57,08M	-0.05%
04.10.2023	9.285,44	9.294,64	9.372,32	9.259,82	67,38M	-0.55%
03.10.2023	9.337,08	9.460,69	9.484,14	9.334,59	42,26M	-1.41%
02.10.2023	9.470,33	9.593,37	9.662,27	9.441,65	39,50M	-1.10%
29.09.2023	9.576,14	9.535,74	9.619,69	9.535,74	46,01M	+0.68%
28.09.2023	9.511,21	9.475,14	9.511,21	9.395,04	36,86M	+0.42%
27.09.2023	9.471,80	9.475,32	9.520,56	9.461,11	29,94M	-0.29%
26.09.2023	9.499,07	9.572,84	9.572,84	9.496,75	36,19M	-1.11%
25.09.2023	9.605,45	9.690,35	9.711,70	9.557,55	37,00M	-1.15%
22.09.2023	9.717,17	9.703,86	9.766,48	9.691,53	30,88M	-0.27%
21.09.2023	9.743,93	9.786,51	9.792,40	9.709,39	42,91M	-0.97%
20.09.2023	9.839,06	9.789,33	9.861,27	9.789,33	34,03M	+0.49%
19.09.2023	9.790,64	9.802,03	9.864,37	9.776,40	31,15M	-0.21%
18.09.2023	9.811,39	9.889,74	9.910,46	9.805,80	31,33M	-0.77%
15.09.2023	9.887,41	9.908,86	9.982,03	9.886,84	87,52M	+0.24%
14.09.2023	9.864,03	9.723,34	9.864,03	9.718,96	50,12M	+1.88%
13.09.2023	9.681,81	9.704,15	9.730,76	9.642,65	33,60M	-0.38%
12.09.2023	9.718,28	9.815,43	9.827,48	9.696,55	35,04M	-1.07%
11.09.2023	9.822,94	9.749,43	9.832,44	9.749,43	32,79M	+1.01%
08.09.2023	9.725,10	9.769,44	9.769,44	9.664,38	31,62M	-0.47%
07.09.2023	9.771,18	9.815,85	9.855,91	9.757,61	32,35M	-0.76%
06.09.2023	9.845,88	9.810,15	9.870,00	9.783,56	27,55M	+0.09%
05.09.2023	9.837,06	9.825,98	9.881,74	9.810,27	29,15M	-0.12%
04.09.2023	9.849,31	9.900,89	9.940,81	9.849,31	25,59M	0.00%
01.09.2023	9.849,43	9.843,96	9.902,62	9.839,31	30,70M	+0.18%
31.08.2023	9.831,36	9.863,54	9.894,25	9.831,36	63,09M	-0.32%
30.08.2023	9.863,35	9.843,94	9.886,93	9.831,03	32,13M	+0.41%
29.08.2023	9.823,30	9.688,62	9.830,79	9.688,62	40,58M	+1.57%
28.08.2023	9.671,01	9.608,99	9.678,34	9.605,95	26,49M	+1.41%
25.08.2023	9.536,98	9.501,84	9.592,17	9.501,84	28,03M	+0.12%
24.08.2023	9.525,29	9.615,26	9.637,69	9.522,39	29,24M	-0.59%
23.08.2023	9.581,52	9.570,76	9.605,35	9.551,17	26,87M	+0.18%
22.08.2023	9.563,84	9.530,61	9.602,58	9.527,15	28,51M	+0.84%
21.08.2023	9.484,56	9.512,65	9.570,88	9.484,56	29,61M	-0.19%
18.08.2023	9.502,63	9.495,42	9.521,72	9.448,30	30,97M	-0.39%
17.08.2023	9.539,66	9.519,39	9.582,90	9.500,01	32,30M	-0.07%
16.08.2023	9.546,51	9.544,19	9.589,71	9.533,84	26,13M	-0.38%
15.08.2023	9.582,56	9.640,09	9.647,29	9.576,38	26,74M	-0.50%
14.08.2023	9.630,37	9.667,06	9.700,25	9.614,67	19,72M	-0.67%
11.08.2023	9.695,66	9.761,71	9.776,50	9.677,67	28,38M	-0.95%
10.08.2023	9.788,63	9.765,98	9.821,25	9.763,18	31,74M	+0.60%
09.08.2023	9.729,97	9.704,32	9.781,39	9.704,32	30,50M	+1.08%
08.08.2023	9.626,18	9.632,69	9.652,53	9.605,19	30,89M	-0.66%
07.08.2023	9.689,67	9.647,27	9.706,62	9.639,18	26,69M	+0.24%
04.08.2023	9.666,05	9.611,50	9.667,01	9.605,16	30,14M	+0.57%
03.08.2023	9.611,25	9.647,51	9.657,09	9.594,33	35,28M	-0.85%
02.08.2023	9.694,04	9.761,03	9.761,03	9.639,23	40,05M	-1.49%
01.08.2023	9.840,65	9.847,51	9.878,85	9.840,65	33,10M	-0.34%
31.07.2023	9.874,16	9.851,40	9.891,56	9.828,05	45,07M	+0.17%
28.07.2023	9.857,54	9.844,36	9.872,11	9.829,39	43,10M	+0.06%
27.07.2023	9.851,70	10.013,54	10.017,65	9.851,70	48,93M	-1.48%
26.07.2023	9.999,89	10.074,04	10.077,67	9.933,83	34,94M	-0.84%
25.07.2023	10.084,86	9.985,75	10.093,42	9.964,76	35,80M	+1.22%
24.07.2023	9.962,93	9.930,25	9.966,64	9.891,82	37,46M	+0.31%
21.07.2023	9.931,70	9.903,63	9.964,94	9.891,93	60,05M	-0.01%
20.07.2023	9.933,09	9.959,02	9.969,44	9.893,60	48,91M	-0.26%
19.07.2023	9.958,99	9.960,00	9.985,43	9.936,05	38,36M	+0.23%
18.07.2023	9.936,19	9.857,78	9.949,20	9.829,35	39,14M	+0.57%
17.07.2023	9.879,71	9.885,88	9.927,78	9.846,63	47,52M	-0.48%
14.07.2023	9.927,64	9.984,95	9.990,49	9.915,37	77,13M	-1.25%
13.07.2023	10.053,18	10.023,14	10.085,33	9.998,32	30,17M	+0.59%
12.07.2023	9.994,33	9.909,44	9.998,81	9.874,50	39,26M	+1.07%
11.07.2023	9.888,41	9.860,62	9.894,46	9.818,77	27,10M	+0.64%
10.07.2023	9.825,82	9.813,39	9.862,62	9.790,52	22,21M	-0.21%
07.07.2023	9.846,32	9.834,85	9.852,50	9.791,93	32,34M	+0.27%
06.07.2023	9.819,36	9.916,48	9.954,12	9.803,71	33,06M	-1.67%
05.07.2023	9.985,88	10.009,05	10.025,28	9.956,30	31,32M	-0.58%
04.07.2023	10.044,15	10.051,10	10.084,79	10.043,52	24,03M	+0.07%
03.07.2023	10.037,14	9.977,99	10.073,30	9.977,99	34,49M	+0.82%
30.06.2023	9.955,53	9.947,10	10.002,25	9.943,35	47,80M	+0.52%
29.06.2023	9.904,44	9.922,59	9.936,59	9.884,88	35,24M	-0.24%
28.06.2023	9.927,88	9.892,30	9.938,92	9.885,53	37,34M	+0.76%
27.06.2023	9.852,98	9.867,41	9.880,14	9.761,54	34,19M	+0.17%
26.06.2023	9.835,96	9.810,25	9.836,05	9.713,25	50,21M	0.00%
22.06.2023	9.835,67	9.913,35	9.913,35	9.830,17	43,74M	-1.62%
21.06.2023	9.997,73	10.142,71	10.142,71	9.975,16	43,18M	-1.57%
20.06.2023	10.157,05	10.297,84	10.300,88	10.157,05	34,42M	-1.70%
19.06.2023	10.332,48	10.423,17	10.424,96	10.331,43	32,43M	-1.08%
16.06.2023	10.445,22	10.473,98	10.496,27	10.434,06	104,59M	-0.12%
15.06.2023	10.457,76	10.472,41	10.483,33	10.387,62	44,88M	-0.35%
14.06.2023	10.494,83	10.436,48	10.535,24	10.430,40	50,85M	+0.12%
13.06.2023	10.482,60	10.456,23	10.501,06	10.439,82	58,21M	+1.06%
12.06.2023	10.372,92	10.394,98	10.406,96	10.352,96	46,89M	+0.28%
09.06.2023	10.343,53	10.318,96	10.350,27	10.302,98	33,98M	+0.35%
08.06.2023	10.307,66	10.332,91	10.334,58	10.292,81	33,08M	-0.11%
07.06.2023	10.319,49	10.308,52	10.347,09	10.281,91	37,83M	+0.12%
06.06.2023	10.307,42	10.248,27	10.314,86	10.236,76	29,45M	+0.47%
05.06.2023	10.259,30	10.308,90	10.328,48	10.237,75	32,68M	-0.07%
02.06.2023	10.266,85	10.099,37	10.268,88	10.099,37	49,13M	+2.18%
01.06.2023	10.047,89	10.042,80	10.077,05	10.005,96	47,17M	+0.75%
31.05.2023	9.972,88	10.015,36	10.072,58	9.969,85	161,31M	-1.29%
30.05.2023	10.103,47	10.154,73	10.172,61	10.092,93	38,04M	-0.30%
29.05.2023	10.133,66	10.207,19	10.216,70	10.127,98	21,03M	-0.11%
26.05.2023	10.144,84	10.076,64	10.152,87	10.032,41	36,30M	+0.84%
25.05.2023	10.059,94	10.211,53	10.211,53	10.059,94	38,11M	-1.10%
24.05.2023	10.171,65	10.274,83	10.280,60	10.157,86	44,62M	-1.59%
23.05.2023	10.335,73	10.351,11	10.408,41	10.335,73	39,53M	-0.03%
22.05.2023	10.338,46	10.359,07	10.390,75	10.311,83	34,88M	-0.30%
19.05.2023	10.369,32	10.417,04	10.421,97	10.359,45	48,69M	-0.16%
17.05.2023	10.385,66	10.371,23	10.405,26	10.366,40	37,93M	-0.12%
16.05.2023	10.397,79	10.478,66	10.485,13	10.385,61	50,42M	-1.14%
15.05.2023	10.517,31	10.519,21	10.519,21	10.468,68	36,33M	+0.26%
12.05.2023	10.490,02	10.535,93	10.547,08	10.463,07	46,71M	-0.33%
11.05.2023	10.525,03	10.589,98	10.622,06	10.493,89	43,80M	-0.16%
10.05.2023	10.541,59	10.576,68	10.605,53	10.505,15	44,01M	-0.01%
09.05.2023	10.542,32	10.676,44	10.676,44	10.522,37	48,64M	-1.40%
08.05.2023	10.691,62	10.668,05	10.718,46	10.654,76	28,28M	+0.25%
05.05.2023	10.665,33	10.577,57	10.665,33	10.558,72	40,76M	+1.18%
04.05.2023	10.541,26	10.595,24	10.618,83	10.500,28	41,81M	-0.57%
03.05.2023	10.601,57	10.582,96	10.629,97	10.573,08	43,58M	+0.37%
02.05.2023	10.562,76	10.694,48	10.730,23	10.562,00	54,17M	-1.04%
28.04.2023	10.673,29	10.737,05	10.767,06	10.599,36	61,82M	-0.08%
27.04.2023	10.681,62	10.697,26	10.700,00	10.644,64	50,84M	-0.13%
26.04.2023	10.695,83	10.599,47	10.707,30	10.525,26	60,70M	+0.59%
25.04.2023	10.633,40	10.614,50	10.663,13	10.607,31	59,48M	-0.40%
24.04.2023	10.676,48	10.631,35	10.694,36	10.631,35	42,99M	+0.18%
21.04.2023	10.656,83	10.721,00	10.722,39	10.639,48	61,15M	-0.62%
20.04.2023	10.722,91	10.723,19	10.773,93	10.687,96	96,49M	-0.68%
19.04.2023	10.796,09	10.812,98	10.813,69	10.772,40	48,07M	-0.44%
18.04.2023	10.844,13	10.882,44	10.885,98	10.823,07	48,11M	-0.24%
17.04.2023	10.870,55	10.893,84	10.917,57	10.853,54	46,67M	+0.06%
14.04.2023	10.863,59	10.813,59	10.880,97	10.803,40	46,22M	+0.74%
13.04.2023	10.783,83	10.777,24	10.796,32	10.737,14	40,69M	+0.17%
12.04.2023	10.766,02	10.805,30	10.828,09	10.744,54	47,96M	-0.55%
11.04.2023	10.825,30	10.767,66	10.825,41	10.727,12	57,81M	+1.14%
06.04.2023	10.703,67	10.654,14	10.712,18	10.654,14	34,67M	+0.43%
05.04.2023	10.658,26	10.741,27	10.757,22	10.631,73	35,34M	-0.76%
04.04.2023	10.739,42	10.734,23	10.847,23	10.734,23	35,84M	+0.36%
03.04.2023	10.700,66	10.783,13	10.783,13	10.685,67	34,03M	-0.25%
31.03.2023	10.727,17	10.675,66	10.738,02	10.618,79	42,71M	+0.57%
30.03.2023	10.666,83	10.544,96	10.677,03	10.544,96	46,98M	+1.63%
29.03.2023	10.495,72	10.454,12	10.512,63	10.408,21	41,39M	+0.66%
28.03.2023	10.426,50	10.521,24	10.533,88	10.370,72	41,34M	-0.14%
27.03.2023	10.441,54	10.482,18	10.520,97	10.428,51	51,60M	+0.84%
24.03.2023	10.354,32	10.436,75	10.447,91	10.280,32	60,69M	-2.35%
23.03.2023	10.603,70	10.606,43	10.615,08	10.490,16	44,94M	-0.59%
22.03.2023	10.666,55	10.723,25	10.723,25	10.642,80	41,70M	-0.53%
21.03.2023	10.723,92	10.606,19	10.773,80	10.606,19	51,34M	+2.01%
20.03.2023	10.512,24	10.349,67	10.569,44	10.197,56	68,92M	+0.95%
17.03.2023	10.413,70	10.594,26	10.705,17	10.342,72	140,32M	-1.40%
16.03.2023	10.561,41	10.636,55	10.667,16	10.388,81	64,75M	+0.59%
15.03.2023	10.499,93	10.872,86	10.885,44	10.499,93	78,72M	-3.45%
14.03.2023	10.875,37	10.749,14	10.935,09	10.731,86	57,24M	+1.17%
13.03.2023	10.749,71	10.978,39	10.978,39	10.622,96	74,41M	-2.24%
10.03.2023	10.995,55	11.029,78	11.053,94	10.946,13	55,72M	-1.73%
09.03.2023	11.188,71	11.268,08	11.268,08	11.145,72	35,93M	-0.72%
08.03.2023	11.269,37	11.237,05	11.286,59	11.217,14	41,28M	-0.11%
07.03.2023	11.281,39	11.379,50	11.416,94	11.281,39	48,28M	-0.82%
06.03.2023	11.374,60	11.427,06	11.427,06	11.338,33	39,69M	-0.30%
03.03.2023	11.409,38	11.333,21	11.414,71	11.333,21	50,53M	+1.21%
02.03.2023	11.272,56	11.242,83	11.306,31	11.233,30	40,01M	-0.16%
01.03.2023	11.290,36	11.333,38	11.395,25	11.275,23	52,65M	-0.47%
28.02.2023	11.343,37	11.301,00	11.370,90	11.285,30	100,48M	-0.13%
27.02.2023	11.357,91	11.239,98	11.382,66	11.239,98	48,55M	+1.36%
24.02.2023	11.205,80	11.307,01	11.339,60	11.203,82	54,73M	-0.51%
23.02.2023	11.263,31	11.275,49	11.325,35	11.254,68	34,91M	+0.12%
22.02.2023	11.249,97	11.243,42	11.270,37	11.191,74	38,97M	-0.22%
21.02.2023	11.274,29	11.292,71	11.332,93	11.228,36	35,31M	-0.25%
20.02.2023	11.302,52	11.315,49	11.344,08	11.281,83	26,65M	+0.44%
17.02.2023	11.252,80	11.230,28	11.273,33	11.201,25	43,61M	-0.47%
16.02.2023	11.305,40	11.333,76	11.354,84	11.236,13	46,03M	+0.25%
15.02.2023	11.277,20	11.259,58	11.281,73	11.206,90	46,97M	-0.19%
14.02.2023	11.298,38	11.324,35	11.377,20	11.280,00	38,79M	-0.01%
13.02.2023	11.299,33	11.207,62	11.313,83	11.177,99	38,52M	+1.01%
10.02.2023	11.186,22	11.286,58	11.286,58	11.111,49	48,90M	-1.22%
09.02.2023	11.324,84	11.376,15	11.405,82	11.312,94	47,72M	-0.07%
08.02.2023	11.332,88	11.262,31	11.413,97	11.262,31	47,71M	+0.96%
07.02.2023	11.225,67	11.247,45	11.266,92	11.208,37	45,09M	+0.01%
06.02.2023	11.224,78	11.297,07	11.303,47	11.193,36	46,18M	-0.79%
03.02.2023	11.314,13	11.298,34	11.343,79	11.255,39	54,90M	-0.11%
02.02.2023	11.326,37	11.219,30	11.345,72	11.205,64	67,27M	+1.59%
01.02.2023	11.149,42	11.107,45	11.206,55	11.107,45	46,78M	+0.60%
31.01.2023	11.082,67	11.112,61	11.151,47	11.030,88	72,64M	-0.86%
30.01.2023	11.178,87	11.191,80	11.191,80	11.130,63	47,89M	-0.57%
27.01.2023	11.242,59	11.251,87	11.251,87	11.182,88	56,36M	+0.21%
26.01.2023	11.219,35	11.176,68	11.238,54	11.162,83	63,47M	+0.72%
25.01.2023	11.139,29	11.220,57	11.228,97	11.095,44	43,18M	-0.69%
24.01.2023	11.217,23	11.271,93	11.282,32	11.182,67	38,94M	-0.13%
23.01.2023	11.232,18	11.202,97	11.253,30	11.198,50	38,34M	+0.72%
20.01.2023	11.151,98	11.126,26	11.183,48	11.102,75	53,82M	+0.55%
19.01.2023	11.090,99	11.141,79	11.177,12	11.090,99	39,78M	-1.22%
