"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Suhteellisen kosteuden keskiarvo [%]","Keskituulen nopeus [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]"
"Helsinki Kumpula","2023","5","15","00:00","9.2","79","1.5","0","1022.3","9.9","8.9","2","213","2.7"
"Helsinki Kumpula","2023","5","15","01:00","8.8","80","1.4","0","1022","9.1","8.5","2.2","242","3"
"Helsinki Kumpula","2023","5","15","02:00","8.2","85","0.8","0","1021.8","8.5","8","1.6","285","1.7"
"Helsinki Kumpula","2023","5","15","03:00","8.4","87","1.6","0","1021.7","9.3","7.8","2.4","86","2.9"
"Helsinki Kumpula","2023","5","15","04:00","10.2","77","1.4","0","1021.5","11.5","9.3","2","90","2.5"
"Helsinki Kumpula","2023","5","15","05:00","12.9","62","0.9","0","1021.3","14.5","11.5","1.3","73","2.2"
"Helsinki Kumpula","2023","5","15","06:00","14.8","56","1.5","0","1021","16.1","14.1","2.1","103","3.2"
"Helsinki Kumpula","2023","5","15","07:00","16.8","43","2.1","0","1020.7","17.7","16.1","2.9","114","4.2"
"Helsinki Kumpula","2023","5","15","08:00","17.4","38","2.6","0","1020.5","17.9","16.9","3.1","109","4.4"
"Helsinki Kumpula","2023","5","15","09:00","18.4","34","3.4","0","1020.3","18.8","18","4.2","113","6.8"
"Helsinki Kumpula","2023","5","15","10:00","19.4","32","3.9","0","1019.8","20.2","18.2","4.8","108","7"
"Helsinki Kumpula","2023","5","15","11:00","19.3","38","4","0","1019.5","20.7","18","5.1","112","7.1"
"Helsinki Kumpula","2023","5","15","12:00","19.1","45","3.7","0","1018.9","20.1","18","5.1","107","8.1"
"Helsinki Kumpula","2023","5","15","13:00","19.3","44","4.3","0","1018.4","20.2","18.6","5.3","104","8"
"Helsinki Kumpula","2023","5","15","14:00","19.7","43","5.6","0","1017.7","20.2","19.3","7.2","105","11.2"
"Helsinki Kumpula","2023","5","15","15:00","19.8","41","5.8","0","1017.1","20.1","19.4","6.8","99","10.3"
"Helsinki Kumpula","2023","5","15","16:00","19","42","6.5","0","1016.5","20","18.3","7.6","101","11.2"
"Helsinki Kumpula","2023","5","15","17:00","17.6","47","6.2","0","1016.2","18.3","17.1","7.6","99","10.7"
"Helsinki Kumpula","2023","5","15","18:00","16.8","50","5","0","1016.1","17.1","16.5","6.2","96","9.4"
"Helsinki Kumpula","2023","5","15","19:00","15.9","52","5.3","0","1016.2","16.6","15","6.3","100","11.5"
"Helsinki Kumpula","2023","5","15","20:00","14.9","56","4.7","0","1016","15.1","14.7","5.3","105","9.1"
"Helsinki Kumpula","2023","5","15","21:00","14.6","57","3.6","0","1015.6","14.8","14.5","4.4","97","7.3"
"Helsinki Kumpula","2023","5","15","22:00","14.4","58","3.9","0","1015.2","14.6","14.2","4.3","89","6.4"
"Helsinki Kumpula","2023","5","15","23:00","14.3","58","3.6","0","1014.8","14.4","14.1","3.8","80","6.1"
"Helsinki Kumpula","2023","5","16","00:00","14.2","58","2.7","0","1014.3","14.8","13.4","4.2","104","5.4"
"Helsinki Kumpula","2023","5","16","01:00","14.3","57","3.5","0","1013.6","14.7","13.5","4","92","5.4"
"Helsinki Kumpula","2023","5","16","02:00","13.5","62","3.7","0","1013","13.9","13.3","4.4","88","6.9"
"Helsinki Kumpula","2023","5","16","03:00","13.8","61","4","0","1012.5","13.9","13.6","4.6","97","7.1"
"Helsinki Kumpula","2023","5","16","04:00","13.5","63","4.2","0","1012","13.8","13.3","4.7","99","6.9"
"Helsinki Kumpula","2023","5","16","05:00","13.8","61","4.9","0","1011.6","14","13.4","5.5","107","8"
"Helsinki Kumpula","2023","5","16","06:00","13.2","64","4.7","0","1011.8","13.4","13","5.7","111","8.3"
"Helsinki Kumpula","2023","5","16","07:00","12.8","70","3.4","0","1011.9","13.1","12.5","4.6","107","7.6"
"Helsinki Kumpula","2023","5","16","08:00","12.4","80","3.2","0.2","1011.8","12.8","12.1","3.6","83","5.1"
"Helsinki Kumpula","2023","5","16","09:00","11.9","88","3.4","1.1","1011.8","12.7","11.2","4.2","112","7.1"
"Helsinki Kumpula","2023","5","16","10:00","11.2","96","3.9","0.8","1011.3","11.3","11.1","4.6","111","6.9"
"Helsinki Kumpula","2023","5","16","11:00","11.4","97","5","0.6","1010.4","11.6","11.3","6.4","104","10.1"
"Helsinki Kumpula","2023","5","16","12:00","11.7","96","7.9","0.1","1009.5","11.8","11.4","9.3","110","14.3"
"Helsinki Kumpula","2023","5","16","13:00","11.2","96","8.9","0.2","1009.2","11.7","11","10","115","14.7"
"Helsinki Kumpula","2023","5","16","14:00","11","97","9.1","0.2","1008.8","11.2","10.8","10.6","124","16"
"Helsinki Kumpula","2023","5","16","15:00","11","98","7","0","1008.3","11.1","10.8","8.1","128","12.1"
"Helsinki Kumpula","2023","5","16","16:00","11.2","97","6.3","0.1","1008","11.3","11","7.1","130","11.1"
"Helsinki Kumpula","2023","5","16","17:00","11.1","98","5","1","1007.6","11.3","11","6.3","141","9.6"
"Helsinki Kumpula","2023","5","16","18:00","11.1","98","5","0.2","1007.5","11.3","10.9","6.1","149","8.3"
"Helsinki Kumpula","2023","5","16","19:00","11.2","100","4.6","0.3","1007.4","11.3","11.1","5.1","159","8.6"
"Helsinki Kumpula","2023","5","16","20:00","11","100","4.1","0","1007.3","11.2","10.8","4.5","153","7.9"
"Helsinki Kumpula","2023","5","16","21:00","11.1","100","4","0","1007.1","11.2","11","4.8","159","7.5"
"Helsinki Kumpula","2023","5","16","22:00","11.2","100","3.8","0","1007","11.4","11.1","4.2","170","7.2"
"Helsinki Kumpula","2023","5","16","23:00","11.5","100","4.1","0","1007.1","11.7","11.3","4.7","178","7.5"
"Helsinki Kumpula","2023","5","17","00:00","11.3","100","4.5","0","1007.2","11.7","11.1","5.2","190","8.4"
"Helsinki Kumpula","2023","5","17","01:00","11","100","5.4","0","1007.5","11.4","10.5","6.1","210","9.6"
"Helsinki Kumpula","2023","5","17","02:00","10.5","100","4.5","0","1007.9","10.6","10.4","5.7","218","9.1"
"Helsinki Kumpula","2023","5","17","03:00","10.4","98","3.5","0","1007.9","10.5","10.3","4.7","195","6.9"
"Helsinki Kumpula","2023","5","17","04:00","10.5","98","4.9","0","1008.3","10.6","10.2","6","191","9.3"
"Helsinki Kumpula","2023","5","17","05:00","10.6","98","5.9","0","1008.5","10.7","10.3","6.9","194","10.9"
"Helsinki Kumpula","2023","5","17","06:00","10.8","94","6","0","1009","10.9","10.7","7.1","196","10.3"
"Helsinki Kumpula","2023","5","17","07:00","11","93","5.5","0","1009.3","11","10.9","7","200","11.3"
"Helsinki Kumpula","2023","5","17","08:00","10.9","93","5.8","0","1010","11","10.8","6.8","201","11.1"
"Helsinki Kumpula","2023","5","17","09:00","11.8","86","6.6","0","1010.7","13","10.8","7.6","204","13.1"
"Helsinki Kumpula","2023","5","17","10:00","12.2","76","8","0","1011.3","12.6","11.9","10","223","15.7"
"Helsinki Kumpula","2023","5","17","11:00","12.8","66","8.9","0","1011.8","13.3","12.4","9.7","225","15.7"
"Helsinki Kumpula","2023","5","17","12:00","12.7","66","8.7","0","1012.5","13.5","12.2","10.3","219","14.4"
"Helsinki Kumpula","2023","5","17","13:00","12.8","65","7","0","1012.7","13.5","12.4","8.8","215","15"
"Helsinki Kumpula","2023","5","17","14:00","11.5","71","6.6","0","1012.9","12.6","10.9","7.6","223","11.9"
"Helsinki Kumpula","2023","5","17","15:00","11.4","74","6.6","0","1012.8","11.6","11","7.8","216","13.6"
"Helsinki Kumpula","2023","5","17","16:00","10.9","78","6.6","0","1012.7","11.5","9.9","8.4","219","14.1"
"Helsinki Kumpula","2023","5","17","17:00","9.8","82","7.5","0","1013","10","9.7","8.6","227","13.6"
"Helsinki Kumpula","2023","5","17","18:00","10","77","7.4","0","1013.1","10.2","9.7","9.2","227","13.8"
"Helsinki Kumpula","2023","5","17","19:00","9.2","78","6.7","0","1013.3","9.8","8.7","7.3","224","13.2"
"Helsinki Kumpula","2023","5","17","20:00","8.7","78","7","0","1013.6","8.9","8.4","7.9","235","12.3"
"Helsinki Kumpula","2023","5","17","21:00","8.2","82","7.8","0","1013.8","8.5","8.1","8.7","236","14.2"
"Helsinki Kumpula","2023","5","17","22:00","7.7","82","7","0","1013.8","8.1","7.2","7.8","238","12.8"
"Helsinki Kumpula","2023","5","17","23:00","7.5","84","6.2","0","1014","7.6","7.3","7.8","238","12.2"
"Helsinki Kumpula","2023","5","18","00:00","7.2","79","6.6","0","1014.9","7.6","6.5","7.6","266","10.4"
"Helsinki Kumpula","2023","5","18","01:00","6.1","82","5.8","0","1015.9","6.5","5.8","7.2","264","10.9"
"Helsinki Kumpula","2023","5","18","02:00","5.8","86","4.7","0","1016.4","6.3","5.4","5.4","250","8.2"
"Helsinki Kumpula","2023","5","18","03:00","6.4","84","5.3","0","1016.9","7","6.1","6","247","9.7"
"Helsinki Kumpula","2023","5","18","04:00","7.5","81","5.5","0","1017.6","7.9","6.9","6.2","256","9.5"
"Helsinki Kumpula","2023","5","18","05:00","8.4","72","5.8","0","1018.4","8.9","7.9","7.3","264","11.8"
"Helsinki Kumpula","2023","5","18","06:00","9.4","62","7.3","0","1018.9","9.9","8.9","8.7","263","12.9"
"Helsinki Kumpula","2023","5","18","07:00","10.2","53","8.6","0","1019.7","10.9","9.9","10.5","265","14.7"
"Helsinki Kumpula","2023","5","18","08:00","11.2","49","8.3","0","1020.3","11.8","10.7","9.4","269","14.5"
"Helsinki Kumpula","2023","5","18","09:00","12.1","48","6.6","0","1021.1","13.2","11.5","8.2","278","13.5"
"Helsinki Kumpula","2023","5","18","10:00","12","48","6.5","0","1021.9","12.6","11.5","8.1","275","12.9"
"Helsinki Kumpula","2023","5","18","11:00","12.8","47","6.4","0","1022.4","13.8","12","7.2","276","11.2"
"Helsinki Kumpula","2023","5","18","12:00","13","48","6.7","0","1023.1","13.9","12.5","7.8","274","13.2"
"Helsinki Kumpula","2023","5","18","13:00","12.6","49","6.2","0","1023.9","13","12.2","7.5","283","11.8"
"Helsinki Kumpula","2023","5","18","14:00","12.6","50","5.7","0","1024.6","13.3","12.3","7.2","281","11.9"
"Helsinki Kumpula","2023","5","18","15:00","13.1","48","5.3","0","1025.1","14.6","12.2","6.5","288","9.4"
"Helsinki Kumpula","2023","5","18","16:00","12.5","49","4.2","0","1025.6","13.5","12.1","5.2","292","8.1"
"Helsinki Kumpula","2023","5","18","17:00","12.4","49","3.7","0","1025.8","12.7","12.1","4.5","305","7.5"
"Helsinki Kumpula","2023","5","18","18:00","12","51","2.9","0","1026.1","12.6","11.5","4","325","5.1"
"Helsinki Kumpula","2023","5","18","19:00","11","54","2.2","0","1026.8","11.6","9.9","3.2","328","5.3"
"Helsinki Kumpula","2023","5","18","20:00","8.8","62","2.3","0","1027.4","9.8","8.1","2.7","320","3.4"
"Helsinki Kumpula","2023","5","18","21:00","7.6","70","3.4","0","1028","8.1","7.3","3.8","309","5.3"
"Helsinki Kumpula","2023","5","18","22:00","6.8","73","3.2","0","1028.7","7.3","6.4","3.6","296","4.7"
"Helsinki Kumpula","2023","5","18","23:00","5.6","80","3.4","0","1029.2","6.4","5.2","3.6","306","4.2"
"Helsinki Kumpula","2023","5","19","00:00","4.8","82","3.5","0","1029.6","5.2","4.5","3.7","311","4.9"
"Helsinki Kumpula","2023","5","19","01:00","4.3","82","3.2","0","1030.1","4.6","4.1","3.7","320","5.2"
"Helsinki Kumpula","2023","5","19","02:00","3.8","82","2.9","0","1030.7","4.1","3.5","3","331","5.2"
"Helsinki Kumpula","2023","5","19","03:00","4.3","78","2.7","0","1031","5.5","3.5","3","341","4.6"
"Helsinki Kumpula","2023","5","19","04:00","6.5","68","1.7","0","1031.3","7.4","5.6","2.3","351","3.4"
"Helsinki Kumpula","2023","5","19","05:00","8.6","57","1.6","0","1031.5","9.7","7.4","2","357","3.3"
"Helsinki Kumpula","2023","5","19","06:00","10.3","51","0.9","0","1031.8","11","9.4","1.8","312","3.3"
"Helsinki Kumpula","2023","5","19","07:00","11.7","46","2.7","0","1032","12.2","10.9","4.3","217","5.9"
"Helsinki Kumpula","2023","5","19","08:00","12.5","44","3.8","0","1032.2","12.9","12","4.4","226","6.5"
"Helsinki Kumpula","2023","5","19","09:00","13.1","43","4","0","1032.3","13.6","12.7","4.6","218","6.5"
"Helsinki Kumpula","2023","5","19","10:00","12.8","43","5.1","0","1032.1","13.3","12.2","5.9","224","8.3"
"Helsinki Kumpula","2023","5","19","11:00","13.5","45","5.9","0","1031.9","14.4","12.9","6.6","211","8.9"
"Helsinki Kumpula","2023","5","19","12:00","14.6","44","5.7","0","1031.5","15.3","14.1","6.3","209","9.6"
"Helsinki Kumpula","2023","5","19","13:00","14.9","45","5.9","0","1031.4","15.4","14.3","6.3","209","8.7"
"Helsinki Kumpula","2023","5","19","14:00","15.1","49","4.6","0","1031.3","15.7","14.5","6.2","209","8"
"Helsinki Kumpula","2023","5","19","15:00","15.3","48","5.1","0","1031.1","16","14.8","6.2","211","8.6"
"Helsinki Kumpula","2023","5","19","16:00","14.7","50","4.7","0","1031.1","15.3","14.1","6.1","209","8"
"Helsinki Kumpula","2023","5","19","17:00","13.3","56","3.7","0","1031.1","14.3","12.6","4.2","218","6.3"
"Helsinki Kumpula","2023","5","19","18:00","11.8","63","3","0","1031.2","12.5","11.3","3.6","222","5.2"
"Helsinki Kumpula","2023","5","19","19:00","10.9","68","2.5","0","1031.2","11.4","10.3","3.4","215","4.5"
"Helsinki Kumpula","2023","5","19","20:00","10","74","2.2","0","1031.4","10.3","9.7","3.2","228","4.4"
"Helsinki Kumpula","2023","5","19","21:00","9.6","77","3.4","0","1031.7","9.8","9.3","3.8","260","4.8"
"Helsinki Kumpula","2023","5","19","22:00","9.3","78","3.6","0","1032.2","9.7","8.8","4.2","276","5.5"
"Helsinki Kumpula","2023","5","19","23:00","8.1","82","3.1","0","1032.4","8.7","7.8","3.5","289","4.1"
"Helsinki Kumpula","2023","5","20","00:00","7.6","83","3.5","0","1032.7","7.9","7.2","3.7","300","4.4"
"Helsinki Kumpula","2023","5","20","01:00","6.9","86","3.9","0","1032.9","7.3","6.4","4.1","303","4.8"
"Helsinki Kumpula","2023","5","20","02:00","6.7","84","3.9","0","1033.2","7","6.4","4.2","317","5.5"
"Helsinki Kumpula","2023","5","20","03:00","7.4","74","3","0","1033.4","8.2","7","3.6","326","4.9"
"Helsinki Kumpula","2023","5","20","04:00","9.8","61","2.1","0","1033.6","11.7","8.2","2.7","343","3.9"
"Helsinki Kumpula","2023","5","20","05:00","12.7","47","2","0","1033.7","13.6","11.6","3.2","349","5.2"
"Helsinki Kumpula","2023","5","20","06:00","14.4","41","2.1","0","1033.8","15.3","13.6","3.3","337","4.6"
"Helsinki Kumpula","2023","5","20","07:00","15.6","38","1.5","0","1033.7","16.6","15","2.1","290","3.4"
"Helsinki Kumpula","2023","5","20","08:00","16.9","37","1.8","0","1033.7","17.6","16","2.7","219","4.7"
"Helsinki Kumpula","2023","5","20","09:00","17.6","38","3.7","0","1033.6","18","17.1","4.6","224","6.3"
"Helsinki Kumpula","2023","5","20","10:00","17.4","39","4.6","0","1033.6","17.8","17","5.2","219","6.6"
"Helsinki Kumpula","2023","5","20","11:00","17.8","36","4.7","0","1033.5","18.4","17.1","5.8","214","7.3"
"Helsinki Kumpula","2023","5","20","12:00","18.2","35","5.5","0","1033","18.7","17.8","5.9","210","8.2"
"Helsinki Kumpula","2023","5","20","13:00","18.1","35","5.4","0","1032.6","18.4","17.7","6.1","210","8.7"
"Helsinki Kumpula","2023","5","20","14:00","18.2","35","5.4","0","1032.1","18.6","17.7","6.6","215","8.5"
"Helsinki Kumpula","2023","5","20","15:00","17.8","36","5.6","0","1031.7","18.3","17.4","6.7","213","9.3"
"Helsinki Kumpula","2023","5","20","16:00","17.9","37","4.1","0","1031.2","18.2","17.5","4.8","211","6.5"
"Helsinki Kumpula","2023","5","20","17:00","16.6","40","3.4","0","1030.9","17.7","15.7","4.4","209","6.2"
"Helsinki Kumpula","2023","5","20","18:00","15.1","43","3.4","0","1030.8","15.7","14.7","3.9","217","5.6"
"Helsinki Kumpula","2023","5","20","19:00","14.1","42","3.4","0","1030.8","14.6","13.6","3.9","236","5.6"
"Helsinki Kumpula","2023","5","20","20:00","12.6","45","2.8","0","1030.8","13.5","11.6","3.3","252","4.2"
"Helsinki Kumpula","2023","5","20","21:00","11.1","52","2.9","0","1030.8","11.6","10.8","3.5","268","4.1"
"Helsinki Kumpula","2023","5","20","22:00","10.7","60","3.4","0","1030.7","11.4","10","3.6","288","4.1"
"Helsinki Kumpula","2023","5","20","23:00","9.7","64","3.4","0","1030.3","10","9","4","311","4.3"
"Helsinki Kumpula","2023","5","21","00:00","8.8","65","2.5","0","1030.2","9.2","8.2","3.2","345","3.9"
"Helsinki Kumpula","2023","5","21","01:00","7.9","68","2.3","0","1030.2","8.3","7.6","3","2","3.7"
"Helsinki Kumpula","2023","5","21","02:00","7.5","70","1.2","0","1030.6","8","7.1","2.3","352","3.3"
"Helsinki Kumpula","2023","5","21","03:00","7.9","69","2","0","1030.5","9.2","7.4","2.5","292","2.6"
"Helsinki Kumpula","2023","5","21","04:00","11.1","58","1.4","0","1030.4","12.7","9.2","2.3","287","2.5"
"Helsinki Kumpula","2023","5","21","05:00","13.2","56","0.4","0","1030.5","14.5","12.1","0.9","20","1.8"
"Helsinki Kumpula","2023","5","21","06:00","16","45","0.6","0","1030.2","17.6","14.6","0.9","237","1.5"
"Helsinki Kumpula","2023","5","21","07:00","18","33","1.5","0","1030","18.9","17.3","2.1","250","3.2"
"Helsinki Kumpula","2023","5","21","08:00","18.8","30","2.5","0","1029.8","19.6","18.4","2.9","216","4.7"
"Helsinki Kumpula","2023","5","21","09:00","19.6","29","2","0","1029.4","20.2","19","2.6","236","4.4"
"Helsinki Kumpula","2023","5","21","10:00","20.4","29","2.9","0","1028.9","20.9","19.5","3.9","191","5.7"
"Helsinki Kumpula","2023","5","21","11:00","20.3","29","3.3","0","1028.7","20.9","19.8","3.7","178","5.8"
"Helsinki Kumpula","2023","5","21","12:00","20.4","29","3.2","0","1028.3","20.9","19.9","3.9","198","6.2"
"Helsinki Kumpula","2023","5","21","13:00","20.4","28","3.5","0","1028","21.1","19.7","4.1","187","6.2"
"Helsinki Kumpula","2023","5","21","14:00","19.1","31","3.1","0","1027.6","20.3","18.5","3.9","194","5.6"
"Helsinki Kumpula","2023","5","21","15:00","19","32","3.6","0","1027.3","19.5","18.6","4.6","214","6.1"
"Helsinki Kumpula","2023","5","21","16:00","18.6","34","3.3","0","1026.9","18.8","18.5","3.7","221","5.1"
"Helsinki Kumpula","2023","5","21","17:00","18.3","36","3","0","1026.6","19.2","17.8","3.3","221","4.8"
"Helsinki Kumpula","2023","5","21","18:00","17.4","38","2.4","0","1026.5","18","16.9","3","235","4.5"
"Helsinki Kumpula","2023","5","21","19:00","16","43","2.5","0","1026.4","16.9","14.9","2.9","248","3.8"
"Helsinki Kumpula","2023","5","21","20:00","14.5","47","2.6","0","1026.4","15.1","13.9","3.1","251","3.9"
"Helsinki Kumpula","2023","5","21","21:00","13.6","48","2.4","0","1026.2","14.1","13.3","3","258","3.5"
"Helsinki Kumpula","2023","5","21","22:00","12.7","57","1.9","0","1026.2","13.3","11.9","2.5","244","3.1"
"Helsinki Kumpula","2023","5","21","23:00","12.5","57","2.8","0","1025.9","13.2","11.7","3.2","266","3.5"
"Helsinki Kumpula","2023","5","22","00:00","11.7","62","2.9","0","1025.6","12.7","11.1","3.5","295","3.7"
"Helsinki Kumpula","2023","5","22","01:00","11.1","65","2.2","0","1025.3","11.5","10.5","2.7","329","3.4"
"Helsinki Kumpula","2023","5","22","02:00","10","70","2.5","0","1025.2","10.4","9.5","4.1","355","5.4"
"Helsinki Kumpula","2023","5","22","03:00","10.2","70","2.8","0","1025","10.9","9.5","3.5","355","4.6"
"Helsinki Kumpula","2023","5","22","04:00","13.3","58","2.4","0","1024.8","14.5","11","3.1","10","4.5"
"Helsinki Kumpula","2023","5","22","05:00","14.7","52","2","0","1024.6","15.8","13.9","2.7","46","3.8"
"Helsinki Kumpula","2023","5","22","06:00","16.8","43","2.5","0","1024.3","18.1","15.5","3","80","4.3"
"Helsinki Kumpula","2023","5","22","07:00","18.7","38","3.4","0","1024.2","19.6","17.8","4","92","6.2"
"Helsinki Kumpula","2023","5","22","08:00","19.5","38","4.2","0","1024","19.8","19","5.2","107","9.3"
"Helsinki Kumpula","2023","5","22","09:00","20","36","4.3","0","1023.8","20.6","19.4","5.4","101","8.1"
"Helsinki Kumpula","2023","5","22","10:00","20.3","36","4.1","0","1023.4","20.7","19.8","5","110","7.1"
"Helsinki Kumpula","2023","5","22","11:00","19.9","36","3.4","0","1022.9","20.2","19.5","3.9","119","6.3"
"Helsinki Kumpula","2023","5","22","12:00","20.2","36","3.8","0","1022.5","20.9","19.7","4.3","123","6.1"
"Helsinki Kumpula","2023","5","22","13:00","20.1","36","2.7","0","1021.8","21.2","19.4","3.5","164","5.6"
"Helsinki Kumpula","2023","5","22","14:00","19.9","36","3.1","0","1021.1","20.4","19.2","3.8","178","5.5"
"Helsinki Kumpula","2023","5","22","15:00","18.7","40","3","0","1020.7","19.6","16.1","4.3","188","6"
"Helsinki Kumpula","2023","5","22","16:00","16.4","53","3.4","0","1020.4","17.4","15.5","4.2","308","6.7"
"Helsinki Kumpula","2023","5","22","17:00","15.3","65","2.5","0","1020.1","15.9","14.9","4","306","6.1"
"Helsinki Kumpula","2023","5","22","18:00","14.9","71","1.8","0","1019.4","15.2","14.3","3","303","4.2"
"Helsinki Kumpula","2023","5","22","19:00","14.1","77","2","0","1018.9","14.6","13.1","2.3","312","3.4"
"Helsinki Kumpula","2023","5","22","20:00","13.3","82","1.5","0","1018.6","13.5","13","2.9","300","3.3"
"Helsinki Kumpula","2023","5","22","21:00","14","76","2.9","0","1018.5","14.5","13.1","5","122","9"
"Helsinki Kumpula","2023","5","22","22:00","13.4","68","2.5","0","1018.8","14","12.9","4.8","145","6.5"
"Helsinki Kumpula","2023","5","22","23:00","12.7","76","1.8","0","1018.9","13.1","12.1","2.2","94","3.4"
"Helsinki Kumpula","2023","5","23","00:00","12","84","4.2","0.1","1017.7","12.2","11.7","5.7","173","8"
"Helsinki Kumpula","2023","5","23","01:00","11.7","89","1.9","0.3","1017.5","12.4","10.8","4","155","5.6"
"Helsinki Kumpula","2023","5","23","02:00","11.2","94","2.7","0","1017.3","11.7","10.8","3.5","159","5.1"
"Helsinki Kumpula","2023","5","23","03:00","11.6","90","2.2","0","1017.1","12.4","11.3","2.9","139","4.1"
"Helsinki Kumpula","2023","5","23","04:00","12.1","87","1.9","0","1016.9","12.5","11.7","2.2","126","2.9"
"Helsinki Kumpula","2023","5","23","05:00","12.6","83","2.1","0","1016.8","13.1","12.3","2.7","115","3.4"
"Helsinki Kumpula","2023","5","23","06:00","14.1","74","2.3","0","1016.9","15.1","13.2","2.8","135","3.8"
"Helsinki Kumpula","2023","5","23","07:00","15.6","67","1.8","0","1016.7","16.3","14.9","2.7","153","3.8"
"Helsinki Kumpula","2023","5","23","08:00","16.5","63","2.5","0","1016.7","17","16","3.3","139","4.8"
"Helsinki Kumpula","2023","5","23","09:00","17.3","61","2.8","0","1016.9","17.9","16.7","3","127","5"
"Helsinki Kumpula","2023","5","23","10:00","17.2","60","3.4","0","1017","17.6","16.5","4.2","102","5.9"
"Helsinki Kumpula","2023","5","23","11:00","17.9","58","3.6","0","1017","18.2","17.3","4.3","103","6"
"Helsinki Kumpula","2023","5","23","12:00","18.9","53","3.7","0","1016.9","20","17.7","4.7","137","6.3"
"Helsinki Kumpula","2023","5","23","13:00","20","46","3.6","0","1016.8","21.2","19.5","4.4","160","5.6"
"Helsinki Kumpula","2023","5","23","14:00","20.1","47","3.4","0","1016.8","21.1","19.4","3.9","116","5.5"
"Helsinki Kumpula","2023","5","23","15:00","19.4","52","3.8","0","1017","20.5","18.3","4.5","137","6.1"
"Helsinki Kumpula","2023","5","23","16:00","18.3","57","4","0","1017","18.6","18.1","4.6","138","6.4"
"Helsinki Kumpula","2023","5","23","17:00","17.8","56","2.4","0","1016.8","18.2","17.4","3.6","129","5.4"
"Helsinki Kumpula","2023","5","23","18:00","17","61","2.6","0","1016.9","17.4","16.5","3.7","130","5.2"
"Helsinki Kumpula","2023","5","23","19:00","15.6","70","2.5","0","1017.1","16.5","14.6","3.2","108","4"
"Helsinki Kumpula","2023","5","23","20:00","14.1","78","1.8","0","1017.4","14.6","13.6","2.5","104","3.3"
"Helsinki Kumpula","2023","5","23","21:00","13.2","83","1.5","0","1017.7","13.9","12.2","2","97","2.5"
"Helsinki Kumpula","2023","5","23","22:00","11.9","89","1.5","0","1018","13.1","11","2","83","2.3"
"Helsinki Kumpula","2023","5","23","23:00","10.9","95","1.9","0","1018.1","11.9","10.5","2.4","89","2.5"
"Helsinki Kumpula","2023","5","24","00:00","10.2","97","1.7","0","1017.9","11.9","9.8","2.4","97","2.4"
"Helsinki Kumpula","2023","5","24","01:00","9.8","99","1.2","0","1017.9","10","9.4","1.8","50","1.9"
"Helsinki Kumpula","2023","5","24","02:00","9","99","2.6","0","1017.9","9.4","8.5","3.7","15","3.9"
"Helsinki Kumpula","2023","5","24","03:00","9.3","100","2.3","0","1018","11.2","8.6","3.4","27","3.7"
"Helsinki Kumpula","2023","5","24","04:00","12","86","1.2","0","1018.1","13.3","11.2","2.1","43","2.7"
"Helsinki Kumpula","2023","5","24","05:00","15.5","68","1.2","0","1018.3","16.6","13.6","1.8","85","3.1"
"Helsinki Kumpula","2023","5","24","06:00","17","61","1.1","0","1018.5","18.2","15.9","1.5","101","2.3"
"Helsinki Kumpula","2023","5","24","07:00","18.9","55","1.3","0","1018.6","19.5","18.1","2","112","3.3"
"Helsinki Kumpula","2023","5","24","08:00","20.4","51","1.9","0","1018.9","20.9","19.5","2.5","139","3.9"
"Helsinki Kumpula","2023","5","24","09:00","21.1","48","2.4","0","1018.9","21.8","20.4","2.9","149","4.2"
"Helsinki Kumpula","2023","5","24","10:00","21.7","46","3","0","1018.7","22","21.3","3.3","172","5.1"
"Helsinki Kumpula","2023","5","24","11:00","21.9","41","3.7","0","1018.5","22.3","21.4","4.7","165","6.4"
"Helsinki Kumpula","2023","5","24","12:00","22.4","35","4.3","0","1018.3","23","21.9","5.1","167","7.5"
"Helsinki Kumpula","2023","5","24","13:00","23.1","33","4.5","0","1017.9","23.6","22.8","5.6","190","7.9"
"Helsinki Kumpula","2023","5","24","14:00","23","32","4.7","0","1017.4","23.4","22.6","5.9","196","7.6"
"Helsinki Kumpula","2023","5","24","15:00","22.9","32","5","0","1017.1","23.3","22.6","5.8","192","7.2"
"Helsinki Kumpula","2023","5","24","16:00","22.1","38","3.9","0","1016.7","23.2","21.1","4.3","196","7"
"Helsinki Kumpula","2023","5","24","17:00","20.4","40","4.7","0","1016.5","21.2","19.6","5.7","210","8.2"
"Helsinki Kumpula","2023","5","24","18:00","18.8","43","4.2","0","1016.3","19.6","18.1","5.1","223","7.5"
"Helsinki Kumpula","2023","5","24","19:00","17.1","51","3.5","0","1016.1","18","16.3","4.3","216","6.2"
"Helsinki Kumpula","2023","5","24","20:00","15.6","62","3.5","0","1016","16.3","15.2","4.3","227","5.3"
"Helsinki Kumpula","2023","5","24","21:00","15","67","4","0","1015.7","15.3","14.7","4.8","232","6.2"
"Helsinki Kumpula","2023","5","24","22:00","14.7","68","4.1","0","1015.3","15.2","14.4","5","234","6.5"
